,ER,Avg.Correction,Max.Correction,Min.Correction,Avg.Advance,Max.Advance,Min.Advance,Avg.Recovery,Max.Recovery,Min.Recovery
25,26.0,-34.16912013011372,212.05673758865248,-82.96969696969697,49.83286584062159,194.59459459459464,-39.03133903133902,-7.91547262470241,129.78723404255322,-83.75757575757575
26,27.0,-45.56925244767997,1.7621145374449354,-79.48128693368352,51.308269317885966,169.73094170403584,-14.121510673234802,-20.01207348449904,94.53207150368036,-71.54738454804115
27,28.0,-38.78480546374086,31.720430107526873,-74.86733490566039,43.86431614566522,292.0,-6.7391304347826,-14.78474107895649,102.46666666666667,-71.0352422907489
28,29.0,-39.602477962131665,6.265664160401002,-82.02247191011236,48.202458556308216,224.58563535911597,-52.983695652173914,-13.596675289872424,141.35338345864662,-78.07259073842303
29,30.0,-42.079062264583015,60.11642264949727,-79.23893805309734,51.41763528864004,257.1428571428571,-36.98572628043661,-17.165784467295975,74.24412094064951,-71.7433628318584
30,31.0,-44.57102660806963,7.809948032665189,-82.90816326530613,42.64785987630946,283.0845771144279,-50.265306122448976,-27.604734666867646,11.833704528582034,-69.23076923076923
31,32.0,-34.977743613821744,154.47852760736194,-80.46932515337421,46.1508384184027,163.39285714285714,-11.379310344827598,-5.353813965468746,353.98773006134974,-55.214723926380366
32,33.0,-46.767071936964456,12.139605462822457,-84.57620953073845,64.17211241429567,317.0646290990131,-4.64285714285714,-15.797856715335374,147.63705103969755,-62.48120300751879
33,34.0,-40.56607683833329,55.589478628464065,-78.11663991439274,41.653305427718415,199.86547085201792,-29.64528301886792,-18.454535646785907,101.05231509320502,-63.02270011947431
34,35.0,-36.67317015360012,12.009803921568633,-78.86792452830188,44.26330265325441,282.85714285714283,-4.020100502512566,-10.477231782861042,165.34653465346537,-66.97358490566037
35,36.0,-41.078334993931975,4.651162790697674,-82.65384615384616,45.87877593245474,251.52671755725194,-84.4984802431611,-14.736371303007427,198.58564693556838,-94.74497681607419
36,37.0,-30.87143531809463,214.28571428571433,-78.59010600706713,52.112007169254774,248.6274509803922,-58.46994535519126,1.5784953687082968,480.39867109634554,-82.82485875706215
37,38.0,-38.76545187602847,4.811715481171539,-82.79329608938546,47.29217247685608,205.76441102756888,-48.339483394833955,-14.271738121262056,45.16574585635358,-68.9387755102041
38,39.0,-42.20877111206441,81.6611664559109,-74.31237721021611,53.89750982743894,201.0416666666667,-8.800000000000008,-15.694865669342471,120.99435585849551,-57.02357563850688
39,40.0,-41.811217373383464,-12.917485265225928,-76.1059795819154,53.36812402628806,345.3333333333333,-14.675288164183296,-11.535894267761941,247.41002704389427,-68.57073407875546
40,41.0,-43.53752268840624,-11.079812206572766,-83.67620751341681,38.30342578619509,151.88679245283018,-26.462395543175482,-23.01213994224388,63.92436149312377,-69.15210907541542
41,42.0,-38.66455352097442,-0.7246376811594049,-68.47210994341147,40.45539090095047,235.10192683607931,-15.433403805496832,-15.164479299585418,126.92889561270799,-67.34693877551021
42,43.0,-41.92096457676932,-4.054054054054068,-71.98096371207613,48.01625816335539,168.82530120481928,-5.508474576271189,-16.73550635385374,53.88302972195591,-63.295657346817364
43,44.0,-39.07212254326752,35.34591194968553,-69.82316029663436,62.579093848589466,316.72862453531604,-38.96103896103896,-0.33389006062895404,464.0251572327044,-60.16949152542372
44,45.0,-42.852628144249586,-9.370577281191805,-67.80122532334921,50.43564440306002,179.05882352941177,-3.0539311241065668,-15.172444782589912,86.32286995515696,-52.75
45,46.0,-37.862633508985965,240.55555555555554,-77.77262180974479,59.95598730393185,324.4817374136229,-57.04128440366973,-7.904735388878407,228.99770466717675,-83.42477876106196
46,47.0,-40.94918436287808,28.304239401496254,-69.39621152328334,52.046151063610935,317.4950298210735,-33.87788778877888,-14.257727645834954,152.24438902743142,-53.92584514721919
